"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6770","Calendar Validation","chromium","2026-05-27","failed","2026-05-27","","Basics\Calendar.spec.js","",""
"","7416","sandbox banner is shown when 6 events are returned","chromium","2026-05-27","passed","2026-05-27","","Basics\ApiTest.spec.js","",""
"","26382","@WebClient App Login ZARA COAT 3","chromium","2026-06-03","passed","2026-06-03","","Network-Api\PageObjectMode.spec.js","",""
"","27922","@WebClient App Login IPHONE 13 PRO","chromium","2026-06-03","passed","2026-06-03","","PageObjectMode.spec.ts","",""
"","16863","@WebClient App Login ZARA COAT 3","chromium","2026-05-27","passed","2026-05-27","","PageObjectMode.spec.js","",""
"","10415","@WebClient App Login ZARA COAT 3","chromium","2026-06-03","passed","2026-06-03","","PageObjectMode.spec.ts","",""
"","7","refund not eligible for group ticket booking","chromium","2026-05-27","failed","2026-05-27","","Basics\Test2.spec.js","",""
"","11553","@Web Api","chromium","2026-05-27","passed","2026-05-27","","WebApiPart1.spec.js","",""
"","20807","@Web Playwright Special locators","chromium","2026-06-03","passed","2026-06-03","","Basics\Llc.spec.js","",""
"","3366","gmail user sees Access Denied when viewing yahoo user booking","chromium","2026-05-27","failed","2026-05-27","","Basics\ApiTest2.spec.js","",""
"","28985","@WebClient App Login IPHONE 13 PRO","chromium","2026-06-03","failed","2026-06-03","","Network-Api\PageObjectMode.spec.js","",""
"","7377","sandbox banner is hidden when 4 events are returned","chromium","2026-05-27","failed","2026-05-27","","Basics\ApiTest.spec.js","",""
"","18842","@Web Upload download excel validation","chromium","2026-06-03","passed","2026-06-03","","Network-Api\upload-download.spec.js","",""
"","20612","@Web Api","chromium","2026-06-03","passed","2026-06-03","","Network-Api\WebApiPart1.spec.js","",""
"","3267","Login","chromium","2026-05-27","failed","2026-05-27","","Basics\ClientApp.spec.js","",""
"","10870","@Web Upload download excel validation","chromium","2026-05-27","passed","2026-05-27","","upload-download.spec.js","",""
"","17124","@WebClient App Login IPHONE 13 PRO","chromium","2026-05-27","passed","2026-05-27","","PageObjectMode.spec.js","",""
